property_id,title,description,listing_type,property_type,status,number_of_page_views,price,property_size,miscellaneous_details,address,city,area,state,country,zip,location_tags,contact_info,images_urls,advert_page_link,page,time_last_updated
23397,Brand New Luxury 7 Bedroom Mansion in Maitama,Brand new Tastefully finished 7 bedroom semi-detached duplex is available for sale in Maitama district Abuja.,Sales,Housing,Available,1540,"NGN 5,000,000,000",Not Specified,"{'rooms': '7', 'bedrooms': '12', 'bathrooms': '12'}",Not Specified,"Abuja, Abuja FCT, FCT,ABUJA, Maitama",Maitama,"Abuja, Abuja FCT",Nigeria,Not Specified,"['Maitama', 'Abuja', 'Abuja-Fct', 'Fctabuja', 'Maitama']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2020/10/A1B-697x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/10/A1M-690x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/10/AMMA-694x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/10/A1A-693x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/10/A1C-689x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/10/A1D-696x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/10/A1E-688x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/10/A1G-689x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/10/A1H-691x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/10/A1I-692x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/10/A1J-690x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/10/A1K-685x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/10/A1N-690x467.png']",https://www.abujaproperties.com/properties/brand-new-luxury-7-bedroom-mansion-in-maitama/,1,2024-02-16 04:19:26.716071
22447,Brand New Commercial Office Space at Wuse,"Commercial office space are available for sale in a very decent location in Wuse, Abuja",Sales,Housing,Available,2049,"NGN 3,300,000,000","5,400.00 sq. ft","{'bathrooms': '38', 'year_built': '2018'}",Wuse,"Abuja, Abuja FCT",Wuse,Abuja,Nigeria,Not Specified,"['Wuse', 'Abuja', 'Abuja-Fct']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2018/11/AA1-1-634x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2018/11/AA2-1-399x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2018/11/AA4.png']",https://www.abujaproperties.com/properties/commercial-office-space-at-wuse/,1,2024-02-16 04:19:28.275885
24863,"Commercial Land Measuring 6,900sqm at Central Area Abuja","A beautiful commercial land measuring 6,900sqm is available for outright sale. The table land comes with a clean title; CofO. Location is very strategic in the heart of Central Area, Abuja.",Sales,Land,Available,404,"NGN 2,500,000,000","6,900.00 sq. ft",None,Not Specified,"Abuja, Abuja FCT",Central Area,"Abuja, Abuja FCT, Federal Capital Territory",Nigeria,Not Specified,"['Central-Area', 'Abuja', 'Abuja-Fct']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2021/06/AAA.png', 'https://www.abujaproperties.com/wp-content/uploads/2022/06/AC1.png']",https://www.abujaproperties.com/properties/commercial-land-measuring-6900sqm-at-central-area-abuja/,1,2024-02-16 04:19:29.563719
18755,Luxury 8 units of 3 Bedroom Apartment,"We have a luxury 8 units of 3 bedroom apartments available for sale at Jabi. A very decent property recently built with large compound space. Facilities include: Fully furnished apartment with Italian design, Cctv Cameras, Swimming Pool, Reception area, Fitted kitchen with cabinets and cookers, Electronics, Borehole, 24hrs security, Intercom, WiFi, Pent House, Fire alarm, Water treatment and storage.",Sales,Housing,Available,5613,"NGN 1,800,000,000","4,500.00 sq. ft","{'rooms': '32', 'bedrooms': '32', 'bathrooms': '32', 'year_built': '2015', 'garages': '8'}",Jabi,Abuja,Not Specified,Not Specified,Nigeria,Not Specified,['Abuja'],"{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1830-2-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1830-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1834-835x467.jpg']",https://www.abujaproperties.com/properties/luxury-8-units-of-3-bedroom-apartment-at-jabi/,1,2024-02-16 04:19:32.546976
18794,Hotel Land measuring 2.2 Hectares with CofO,A lovely positioned hotel land measuring 2.2 hectares is available for sale. This land is located along Mabushi express road very close to Setraco and it comes with CofO (Certificate of Occupancy) and all relevant documentations.,Sales,Land,Available,6060,"NGN 1,700,000,000",2.20 sq. ft,None,Mabushi,Abuja,Not Specified,Not Specified,Nigeria,Not Specified,['Abuja'],"{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}",['https://www.abujaproperties.com/wp-content/uploads/2016/01/Screenshot_2016-01-26-16-48-17_1-835x467.jpg'],https://www.abujaproperties.com/properties/hotel-land-measuring-2-2-hectares-with-cofo/,1,2024-02-16 04:19:33.913230
25531,"Residential Land at Maitama measuring 2,201sqm","Luxury residential land at Maitama main with old twin duplexes measuring 2,201sqm is available for outright sale. This land comes with a clean CofO and it’s located in a very decent and serene residential area at Maitama.",Sales,Land,Available,237,"NGN 1,600,000,000","2,201.00 sq. ft","{'rooms': '10', 'bedrooms': '14', 'bathrooms': '14'}",Not Specified,"Abuja, Abuja FCT, FCT,ABUJA, Maitama",Maitama,"Abuja, Abuja FCT, Federal Capital Territory",Nigeria,Not Specified,"['Maitama', 'Abuja', 'Abuja-Fct', 'Fctabuja', 'Maitama']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2023/03/AC1-3-642x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/03/AC2-3-734x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/03/AC3-3-720x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/03/AC4-2-835x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/03/AC5-2-833x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/03/AC6-1-666x467.png']",https://www.abujaproperties.com/properties/residential-land-at-maitama-measuring-2201sqm/,1,2024-02-16 04:19:35.144894
18390,Filling Station with 12 pumps for Sale,"A brand new beautifully designed filling station on a land measuring 3,600 m2 with 12 quality pumps, 150Kva generator, Provision for Mini Mart, Car wash and four offices on the ground floor , 3 offices on the first floor and a large pent house.",Sales,Housing,Available,5885,"NGN 1,500,000,000","3,600.00 sq. ft","{'year_built': '2015', 'available_from': '2016'}",Not Specified,Abuja,Mabushi,Not Specified,Nigeria,Not Specified,"['Mabushi', 'Abuja']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2016/01/IMG-20160105-WA0025-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMG-20151221-WA0009-2-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMG-20151221-WA0010-2-835x467.jpg']",https://www.abujaproperties.com/properties/filling-station-with-12-pumps-for-sale/,1,2024-02-16 04:19:37.692814
25540,"Luxury 6 Bedroom Mansion on a Land Measuring 2,800sqm","Luxury residential land at Maitama mansion on a land measuring 2,800sqm is available for outright sale. This land comes with a clean CofO and it’s located in a very decent and serene residential area at Maitama.",Sales,Land,Available,300,"NGN 1,400,000,000","2,800.00 sq. ft","{'rooms': '6', 'bedrooms': '8', 'bathrooms': '8'}",Not Specified,"Abuja, Abuja FCT, F.C.T, FCT,ABUJA, Maitama",Maitama,"Abuja, Abuja FCT, Federal Capital Territory",Nigeria,Not Specified,"['Maitama', 'Abuja', 'Abuja-Fct', 'F-C-T', 'Fctabuja', 'Maitama']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}",['https://www.abujaproperties.com/wp-content/uploads/2023/03/AA1-5-705x467.png'],https://www.abujaproperties.com/properties/luxury-6-bedroom-mansion-on-a-land-measuring-2800sqm/,1,2024-02-16 04:19:39.017532
18640,6 units of 3 Bedroom & 6 units of 2 Bedroom,A very beautiful and tastefully presented 6 units of 3 bedroom luxury apartment and 6 units of 2 bedroom luxury apartment.,Sales,Housing,Available,5876,"NGN 1,300,000,000","5,322.00 sq. ft","{'rooms': '30', 'bedrooms': '42', 'bathrooms': '33', 'year_built': '2012'}",Wuse II,Abuja,Wuse II,Not Specified,Nigeria,Not Specified,"['Wuse-Ll', 'Abuja']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1717-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1711-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1714-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1715-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1716-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1720-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1723-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1726-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1730-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1731-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1732-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1733-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1734-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1735-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1736-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1737-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/01/IMAG1711-1-835x467.jpg']",https://www.abujaproperties.com/properties/6-units-of-3-bedroom-6-units-of-2-bedroom/,1,2024-02-16 04:19:40.736353
25714,Commercial Furnished Duplex at Wuse 2,"Commercial office space is available for sale at Wuse 2 district, Abuja.",Sales,Housing,Available,427,"NGN 1,300,000,000","1,531.00 sq. ft",None,Not Specified,"Abuja, Abuja FCT, FCT,ABUJA",Wuse II,"Abuja, Abuja FCT, Federal Capital Territory",Nigeria,Not Specified,"['Wuse-Ll', 'Abuja', 'Abuja-Fct', 'Fctabuja']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2023/05/AA1-737x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA2-722x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA3-403x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA4-738x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA5-730x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA6-403x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA7-738x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA8-405x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA9-738x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA10-828x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA11-819x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA12-405x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA13-397x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/05/AA14-587x467.png']",https://www.abujaproperties.com/properties/commercial-furnished-duplex-at-wuse-2/,1,2024-02-16 04:19:42.454413
