property_id,title,description,listing_type,property_type,status,number_of_page_views,price,property_size,miscellaneous_details,address,city,area,state,country,zip,location_tags,contact_info,images_urls,advert_page_link,page,time_last_updated
18995,Well Positioned 21 Hectares Farm Land at Kuje,A decent farm land is available for sale at Kuje. The land is measuring 21 Hectares and has all the relevant documentation.,Rentals,Land,Available,7153,"NGN 15,000,000","21,000.00 sq. ft",None,Kuje,Abuja,Not Specified,Not Specified,Nigeria,Not Specified,['Abuja'],"{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}",['https://www.abujaproperties.com/wp-content/uploads/2016/02/Screen-Shot-2016-01-28-at-6.41.45-PM.png'],https://www.abujaproperties.com/properties/21-hectares-farm-land-at-kuje/,21,2024-02-16 04:20:32.985447
23189,Brand New Luxury 5 Bedroom Duplex in Wuse 2,"An extremely exquisite 5 bedroom luxury apartment (About the best currently in Wuse 2) is available for rent with spacious compound, bright reception with a large roof offering superb living space.",Rentals,Housing,Available,1291,"NGN 15,000,000",Not Specified,"{'rooms': '5', 'bedrooms': '7', 'bathrooms': '7'}",Not Specified,"Abuja, Abuja FCT, FCT,ABUJA",Wuse II,"Abuja, Abuja FCT",Nigeria,Not Specified,"['Wuse-Ll', 'Abuja', 'Abuja-Fct', 'Fctabuja']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2020/06/A1A-676x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/06/A1-1-698x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/06/A2-1-671x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/06/A4-706x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2020/06/A5-389x467.png']",https://www.abujaproperties.com/properties/luxury-5-bedroom-duplex-in-wuse-2/,21,2024-02-16 04:20:34.586047
20487,4 units of 3 Bedroom Apartment in Jabi,"4 units of 3 bedroom apartment flat with ample parking space, spacious living rooms, spacious bedrooms (all en suite). Massive compounds, in-built wardrobes, 24hrs security, water treatment and borehole, green area.",Rentals,Housing,Available,1216,"NGN 15,000,000",Not Specified,"{'bedrooms': '3', 'bathrooms': '3', 'year_built': '2014', 'garages': '12', 'garage_size': '890'}",Jabi,Abuja FCT,Jabi,Not Specified,Nigeria,Not Specified,"['Jabi', 'Abuja-Fct']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2017/01/a1as-653x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/01/aa4-653x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/01/aaaa1-373x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/01/aacs2-662x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/01/aads3-1-657x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/01/advd5-659x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/01/afsgrt123-652x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/01/ave5-655x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/01/axzce4-658x467.png']",https://www.abujaproperties.com/properties/4-units-of-3-bedroomapartment-in-jabi/,21,2024-02-16 04:20:36.134965
20008,Lovely 4 Bedroom detached House,"Exquisitely Finished 4 Bedroom fully detached duplex with a 2 room B/Q,  for rent  at Maitama district, Abuja. Features include :-  King size rooms, All rooms ensuite with wardrobes, with Jacuzzi in the masters bedroom, fully fitted kitchen, Swimming pool, Green area, P.O.P finished with Italian tiled floor, Security house and electric fencing, water treatment plant, ample parking lot with paved compound.",Rentals,Housing,Available,1310,"NGN 15,000,000","3,023.00 sq. ft","{'rooms': '4', 'bedrooms': '5', 'bathrooms': '4', 'year_built': '2016', 'garages': '12', 'available_from': '2016'}",Maitama,Maitama,Maitama,Not Specified,Nigeria,Not Specified,"['Maitama', 'Maitama']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4122-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4095-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4097-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4100-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4102-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4108-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4109-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4111-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4114-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4115-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4117-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4121-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/09/IMAG4120-835x467.jpg']",https://www.abujaproperties.com/properties/lovely-4-bedroom-detached-house/,21,2024-02-16 04:20:37.690666
25759,Lovely 5 Bedroom Bungalow at Wuse,Spacious and well finished 5 bedroom bungalow with two room boys quarter at Wuse district Abuja is now available for rent.,Rentals,Housing,Available,300,"NGN 15,000,000","1,123.00 sq. ft","{'rooms': '5', 'bedrooms': '6', 'bathrooms': '6'}",Not Specified,"Abuja, Abuja FCT, FCT,ABUJA",Wuse,"Abuja, Abuja FCT, Federal Capital Territory",Nigeria,Not Specified,"['Wuse', 'Abuja', 'Abuja-Fct', 'Fctabuja']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2023/06/AC1-681x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/06/AC2-683x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/06/AC3-682x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/06/AC4-681x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/06/AC5-683x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/06/AC6-682x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/06/AC7-680x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2023/06/AC8-683x467.png']",https://www.abujaproperties.com/properties/lovely-5-bedroom-bungalow-at-wuse/,21,2024-02-16 04:20:39.254351
22697,Decent 5 Bedroom Duplex in Asokoro,"A lovely 5 bedroom detached duplex is available for rent in Asokoro district. The property is located at a very serene location with great facilities such as: 2 guest chalets, all rooms en-suite, Swimming pool, study room, ample parking space,wardrobes, 2 Boys Quarters.",Rentals,Housing,Available,2009,"NGN 15,000,000",Not Specified,"{'rooms': '5', 'bedrooms': '5', 'bathrooms': '9', 'year_built': '2019', 'garages': '12'}",Asokoro,"Abuja, Abuja FCT, FCT,ABUJA",Asokoro,"Abuja, Abuja FCT",Nigeria,Not Specified,"['Asokoro', 'Abuja', 'Abuja-Fct', 'Fctabuja']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2019/05/AS1.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AS2-628x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AS3A-621x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AS3-631x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AS4.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AS5-624x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AS6-632x467.png']",https://www.abujaproperties.com/properties/decent-5-bedroom-duplex-in-asokoro/,21,2024-02-16 04:20:40.774865
20834,Brand New 3 Bedroom Duplex in Maitama,"A well finished and luxury 3 bedroom terrace duplex with Bq is available for rent in Maitama district, Abuja. Facilities include: Spacious sitting room with a big dinning area, all room en suite with visitors toilet, well fitted wardrobes and fitted kitchen,  very good tiles, generator, boys quarter, ample parking space, Swimming pool, Gatehouse, Fire alarm systems, Cctv cameras, good road network, Interlocked compound and in a very decent location.",Rentals,Housing,Available,1200,"NGN 15,000,000",Not Specified,"{'rooms': '3', 'bedrooms': '3', 'bathrooms': '3', 'year_built': '2016', 'garages': '6'}",Maitama,"Abuja, Abuja FCT, Maitama",Maitama,Not Specified,Nigeria,Not Specified,"['Maitama', 'Abuja', 'Abuja-Fct', 'Maitama']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2017/05/AMM1-623x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/05/AMM2.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/05/AMM3-628x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/05/AMM4-631x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/05/AMM5-630x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/05/AMM6.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/05/AMM7-635x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/05/AMM8-631x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/05/AMM9-627x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/05/AMM10-632x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2017/05/AMM11-584x467.png']",https://www.abujaproperties.com/properties/brand-new-3-bedroom-terrace-duplex-in-maitama/,21,2024-02-16 04:20:42.344790
22705,Brand New Luxury 5 Bedroom in Asokoro,A Brand new and tastefully finished 5 bedroom detached mansion is available for rent in Asokoro district Abuja. The floor is fully serviced with great facilities and designs. The internal doors are very solid bullet proof doors with ample area and plenty green area.,Rentals,Housing,Available,2468,"NGN 15,000,000","1,230.00 sq. ft","{'rooms': '5', 'bedrooms': '7', 'bathrooms': '8', 'year_built': '2019', 'garages': '12'}",Asokoro,"Abuja, Abuja FCT, FCT,ABUJA",Asokoro,"Abuja, Abuja FCT",Nigeria,Not Specified,"['Asokoro', 'Abuja', 'Abuja-Fct', 'Fctabuja']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2019/05/AG1.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AG2-618x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AG3-624x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AG5-634x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AG5B-628x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AG6-629x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AG7.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AG7A-632x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AG8.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AG9-623x467.png', 'https://www.abujaproperties.com/wp-content/uploads/2019/05/AG10.png']",https://www.abujaproperties.com/properties/brand-new-luxury-5-bedroom-in-asokoro/,21,2024-02-16 04:20:43.898082
154,Office Space for rent in Wuse,A brand new 8 room duplex perfect for office space is available for rent at Wuse.,Rentals,Housing,Available,5969,"NGN 15,000,000 per annum","1,100.00 sq. ft","{'property_lot_size': '850.00 ft2', 'rooms': '8', 'bedrooms': '8', 'bathrooms': '8', 'year_built': '2015-12-09'}",Wuse zone 2,Abuja,Wuse zone 2,Not Specified,Nigeria,Not Specified,"['Wuse-Zone-2', 'Abuja']",None,"['https://www.abujaproperties.com/wp-content/uploads/2014/05/IMAG1413-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2014/05/IMAG1394-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2014/05/IMAG1401-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2014/05/IMAG1402-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2014/05/IMAG1405-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2014/05/IMAG1407-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2014/05/IMAG1409-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2014/05/IMAG1410-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2014/05/IMAG1411-835x467.jpg']",https://www.abujaproperties.com/properties/officespacewuse/,21,2024-02-16 04:20:45.554484
19946,2 Bedroom House for Sale at Gaduwa,Very decent and spacious 2 bedroom house is available at Gaduwa Abuja for sale. This house has ample parking space at its within a residential location.,Rentals,Housing,Available,2221,"NGN 15,000,000",Not Specified,"{'rooms': '2', 'bedrooms': '2', 'bathrooms': '2', 'year_built': '2013'}",Gaduwa,Abuja FCT,Other Locations,Not Specified,Nigeria,Not Specified,"['Other-Locations', 'Abuja-Fct']","{'contact_address': 'Plot 128 Osun Crescent Maitama, Abuja.', 'phone': '0806 393 3400, 0803 324 9800, 0705 111 6400,', 'email': 'info@abujaproperties.com, abuja@abujaproperties.com'}","['https://www.abujaproperties.com/wp-content/uploads/2016/07/IMG-20160728-WA0034-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/07/IMG-20160728-WA0027-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/07/IMG-20160728-WA0028-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/07/IMG-20160728-WA0029-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/07/IMG-20160728-WA0030-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/07/IMG-20160728-WA0031-835x467.jpg', 'https://www.abujaproperties.com/wp-content/uploads/2016/07/IMG-20160728-WA0032-835x467.jpg']",https://www.abujaproperties.com/properties/2-bedroom-house-for-sale-at-gaduwa/,21,2024-02-16 04:20:47.120834
